T,t,kappa,rho_s,xi_norm
1.543854544828283,0.2907687684544823,0.9959642337839129,0.43682629298659365,0.10397644667111437
1.5606909084545455,0.2830343125438508,0.9959964559852156,0.42900080682352776,0.10587652630517343
1.5775272720808082,0.2752998566332193,0.9960295721167169,0.42110452976711876,0.10786544008814036
1.594363635707071,0.26756540072258783,0.9960636331648868,0.41313480467665054,0.10995001685110528
1.6111999993333335,0.25983094481195634,0.9960986946057103,0.4050887945596305,0.11213782824205762
1.6280363629595962,0.25209648890132486,0.996134816947695,0.3969634646495945,0.11443729467484631
1.6448727265858587,0.24436203299069337,0.9961720663595335,0.38875556208960005,0.11685781020278417
1.6617090902121214,0.23662757708006188,0.9962105153987691,0.38046159281506686,0.11940989042264101
1.678545453838384,0.2288931211694304,0.9962502438616249,0.3720777951450148,0.12210534857349155
1.6953818174646467,0.2211586652587989,0.9962913397789935,0.3636001094850461,0.12495750637294104
1.7122181810909092,0.21342420934816742,0.9963339005898413,0.35502414341242783,0.12798144794194616
1.729054544717172,0.20568975343753593,0.9963780345313473,0.34634513124505334,0.1311943275644876
1.7458909083434344,0.19795529752690444,0.9964238622956623,0.33755788698066497,0.13461574522997916
1.7627272719696971,0.19022084161627295,0.9964715190171063,0.328656749215142,0.1382682082297332
1.7795636355959599,0.18248638570564135,0.9965211566721824,0.31963551628765535,0.14217770298092242
1.7963999992222224,0.17475192979500997,0.9965729469997917,0.3104873694263466,0.14637440940350047
1.813236362848485,0.16701747388437838,0.9966270850830954,0.3012047810387862,0.15089360157809015
1.8300727264747476,0.159283017973747,0.996683793781492,0.2917794044463332,0.15577679458124663
1.8469090901010103,0.1515485620631154,0.9967433292669231,0.28220194021242206,0.16107322066310384
1.8637454537272728,0.14381410615248402,0.9968059880120972,0.2724619726311216,0.16684175196450798
1.8805818173535356,0.13607965024185253,0.9968721157129445,0.2625477677269233,0.17315343763288688
1.897418180979798,0.12834519433122105,0.9969421188255387,0.2524460209667449,0.18009490009392545
1.9142545446060608,0.12061073842058956,0.9970164796943011,0.24214153832482735,0.1877729544868379
1.9310909082323233,0.11287628250995807,0.9970957767024724,0.23161682760589045,0.1963210046591164
1.947927271858586,0.10514182659932658,0.997180711588682,0.2208515667597812,0.20590807800501204
1.9647636354848488,0.09740737068869498,0.9972721472233514,0.2098219001681574,0.21675188053267072
1.9815999991111113,0.0896729147780636,0.9973711610523974,0.1984994887863578,0.22913815603557278
1.998436362737374,0.081938458867432,0.9974791227161024,0.18685019871971936,0.2434502644182893
2.0152727263636363,0.07420400295680074,0.9975978102819709,0.1748322422444369,0.2602159778541835
2.0321090899898993,0.06646954704616903,0.9977295907142031,0.16239345932140695,0.2801846376103863
2.0489454536161618,0.058735091135537654,0.9978777125315605,0.14946719085070695,0.30446084651043304
2.0657818172424243,0.051000635224906166,0.9980468063760476,0.1359657209943329,0.33475068879585007
2.082618180868687,0.04326617931427457,0.9982438005358262,0.12176924126737582,0.3738514089648229
2.0994545444949497,0.03553172340364308,0.9984797477701995,0.10670584537325065,0.42672791094075985
2.1162909081212122,0.0277972674930117,0.998773929082373,0.09051142705466922,0.5032268269023907
2.133127271747475,0.02006281158237999,0.9991648095598173,0.07273671752442261,0.6264456986606921
2.1499636353737377,0.012328355671748614,0.9997488513167119,0.05247493467241858,0.8688384001361362
2.166799999,0.004593899761117126,1.0009338627487174,0.027070277362276678,1.6862139450231084
2.166799999,0.004593899761117126,1.0009338627487174,0.027070277362276678,1.6862139450231084
2.16690077907341,0.004547602410230667,1.000946029133603,0.026887050209751677,1.6977256210658163
2.1670015638342037,0.004501302906007143,1.000958320740312,0.02670319881030485,1.709435445651723
2.1671023532825995,0.004455001248346413,1.0009707401657661,0.026518714642236055,1.7213489245653417
2.1672031474188147,0.004408697437148779,1.0009832900884998,0.02633358897687058,1.7334717760335785
2.167303946243068,0.004362391472313543,1.0009959732721205,0.02614781287128872,1.745809941266362
